cat_middle,cat_3,code_icd10_p,code_icd10,codename_high,codename,code_icd9
A00－A09,A00,A00,A00,NA,コレラ,
A00－A09,A00,A00.0,A000,NA,コレラ菌によるコレラ,0010
A00－A09,A00,A00.1,A001,NA,エルトールコレラ菌によるコレラ,0011
A00－A09,A00,A00.9,A009,NA,コレラ，詳細不明,0019
A00－A09,A01,A01,A01,NA,腸チフス及びパラチフス,
A00－A09,A01,A01.0,A010,NA,腸チフス,
A00－A09,A01,A01.1,A011,NA,パラチフスA,0021
A00－A09,A01,A01.2,A012,NA,パラチフスB,0022
A00－A09,A01,A01.3,A013,NA,パラチフスC,0023
A00－A09,A01,A01.4,A014,NA,パラチフス，詳細不明,0029
A00－A09,A02,A02,A02,NA,その他のサルモネラ感染症,
A00－A09,A02,A02.0,A020,NA,サルモネラ腸炎,0030
A00－A09,A02,A02.1,A021,NA,サルモネラ敗血症,0031+99591
A00－A09,A02,A02.2,A022,NA,局所的サルモネラ感染症,
A00－A09,A02,A02.8,A028,NA,その他の明示されたサルモネラ感染症,0038
A00－A09,A02,A02.9,A029,NA,サルモネラ感染症，詳細不明,0039
A00－A09,A03,A03,A03,NA,細菌性赤痢,
A00－A09,A03,A03.0,A030,NA,志賀菌による細菌性赤痢,0040
A00－A09,A03,A03.1,A031,NA,フレクスナー菌による細菌性赤痢,0041
A00－A09,A03,A03.2,A032,NA,ボイド菌による細菌性赤痢,0042
A00－A09,A03,A03.3,A033,NA,ソンネ菌による細菌性赤痢,0043
A00－A09,A03,A03.8,A038,NA,その他の細菌性赤痢,0048
A00－A09,A03,A03.9,A039,NA,細菌性赤痢，詳細不明,0049
A00－A09,A04,A04,A04,NA,その他の細菌性腸管感染症,
A00－A09,A04,A04.0,A040,NA,腸管病原性大腸菌感染症,00801
A00－A09,A04,A04.1,A041,NA,腸管毒素原性大腸菌感染症,00802
A00－A09,A04,A04.2,A042,NA,腸管組織侵襲性大腸菌感染症,00803
A00－A09,A04,A04.3,A043,NA,腸管出血性大腸菌感染症,00804
A00－A09,A04,A04.4,A044,NA,その他の大腸菌性腸管感染症,"00800,00809"
A00－A09,A04,A04.5,A045,NA,カンピロバクター腸炎,00843
A00－A09,A04,A04.6,A046,NA,エルシニア　エンテロコリチカによる腸炎,00844
A00－A09,A04,A04.7,A047,NA,クロストリジウム・ディフィシルによる腸炎,
A00－A09,A04,A04.8,A048,NA,その他の明示された細菌性腸管感染症,"0082,00841,00849"
A00－A09,A04,A04.9,A049,NA,細菌性腸管感染症，詳細不明,0085
A00－A09,A05,A05,A05,NA,その他の細菌性食中毒，他に分類されないもの,
A00－A09,A05,A05.0,A050,NA,ブドウ球菌性食中毒,0050
A00－A09,A05,A05.1,A051,NA,ボツリズム＜ボツリヌス中毒＞,0051
A00－A09,A05,A05.2,A052,NA,ウェルシュ菌食中毒,0052
A00－A09,A05,A05.3,A053,NA,腸炎ビブリオ食中毒,0054
A00－A09,A05,A05.4,A054,NA,セレウス菌食中毒,00589
A00－A09,A05,A05.8,A058,NA,その他の明示された細菌性食中毒,00589
A00－A09,A05,A05.9,A059,NA,細菌性食中毒，詳細不明,0059
A00－A09,A06,A06,A06,NA,アメーバ症,
A00－A09,A06,A06.0,A060,NA,急性アメーバ赤痢,0060
A00－A09,A06,A06.1,A061,NA,慢性腸アメーバ症,0061
A00－A09,A06,A06.2,A062,NA,アメーバ性非赤痢性大腸炎,0062
A00－A09,A06,A06.3,A063,NA,腸管アメ－バ肉芽腫,0068
A00－A09,A06,A06.4,A064,NA,アメーバ性肝膿瘍,0063
A00－A09,A06,A06.5,A065,NA,アメーバ性肺膿瘍（J99.8*）,0064
A00－A09,A06,A06.6,A066,NA,アメーバ性脳膿瘍（G07*）,0065
A00－A09,A06,A06.7,A067,NA,皮膚アメーバ症,0066
A00－A09,A06,A06.8,A068,NA,その他の部位のアメーバ感染症,
A00－A09,A06,A06.9,A069,NA,アメーバ症，詳細不明,0069
A00－A09,A07,A07,A07,NA,その他の原虫性腸疾患,
A00－A09,A07,A07.0,A070,NA,バランチジウム症,0070
A00－A09,A07,A07.1,A071,NA,ジアルジア症［ランブル鞭毛虫症］,0071
A00－A09,A07,A07.2,A072,NA,クリプトスポリジウム症,0074
A00－A09,A07,A07.3,A073,NA,イソスポラ症,0072
A00－A09,A07,A07.8,A078,NA,その他の明示された原虫性腸疾患,"0073,0078,1365"
A00－A09,A07,A07.9,A079,NA,原虫性腸疾患，詳細不明,0079
A00－A09,A08,A08,A08,NA,ウイルス性及びその他の明示された腸管感染症,
A00－A09,A08,A08.0,A080,NA,ロタウイルス性腸炎,00861
A00－A09,A08,A08.1,A081,NA,ノーウォーク様ウイルスによる急性胃腸症,
A00－A09,A08,A08.2,A082,NA,アデノウイルス性腸炎,00862
A00－A09,A08,A08.3,A083,NA,その他のウイルス性腸炎,
A00－A09,A08,A08.4,A084,NA,ウイルス性腸管感染症，詳細不明,0088
A00－A09,A08,A08.5,A085,NA,その他の明示された腸管感染症,
